image,text
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (1).jpg,"elevax golden elevator interior, marble floor with dark border, reflective golden walls with mirrors, decorative illuminated ceiling, wooden handrails"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (2).jpg,"elevax modern elevator interior, brushed metal walls, warm ceiling spotlights, stainless steel handrail, gray tiled floor, red patterned carpet"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (3).jpg,"elevax elegant elevator interior, cream leather walls, decorative panel with bamboo and bird design, wall lamp lighting, stainless steel handrail, striped black and white floor border, side control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (4).jpg,"elevax luxurious elevator interior, ornate carved wooden wall decoration, golden decorative ceiling light, warm ambient lighting, dark wooden side walls, patterned floor design"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (5).jpg,"elevax minimalist elevator interior, wooden wall cladding, illuminated abstract wave design on back wall, soft ceiling lighting, sleek handrails, stone floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (6).jpg,"elevax modern elevator interior, brown padded wall cladding, vertical strip lights, sleek metal handrails, glossy black marble floor, mirrored ceiling center"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (7).jpg,"elevax contemporary elevator interior, wooden center wall with metallic lower surface, glossy white side walls, stainless steel handrails, dark tiled floor, recessed ceiling spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (8).jpg,"elevax simple modern elevator interior, smooth metallic walls, stainless steel control panel, stainless steel handrail, bright ceiling spotlights, light stone floor with square border"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (9).jpg,"elevax colorful modern elevator interior, brushed metallic walls, horizontal stripes in yellow blue green and purple, stainless steel handrails, bright ceiling spotlights, gray carpet floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (10).jpg,"elevax classic elevator interior, dark wooden walls with patterned fabric inlays, wooden ceiling with recessed lights, stainless steel control panel with buttons"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (11).jpg,"elevax modern elevator interior, textured golden wall covering, black lower walls, side control panel, soft ambient lighting, square ceiling light"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (12).jpg,"elevax vintage luxury elevator interior, decorative wall paintings with portraits, ornate golden wall frames, stainless steel handrails, white marble floor with engraved letter R, classic ceiling light"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (13).jpg,"elevax contemporary elevator interior, dark metallic doors, textured brown side walls, wooden handrails with square pattern, control panels with digital display, bright ceiling lighting, light stone floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (14).jpg,"elevax classic elevator interior, polished wooden walls with decorative tile artwork, ornate crown molding, dark wooden handrail, checkered marble floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (15).jpg,"elevax modern elevator interior, light beige fabric wall panels, golden metal handrails, recessed ceiling lighting, patterned carpet floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (16).jpg,"elevax modern elevator interior, dark bronze metallic walls, illuminated control panel, wooden handrail, spotlight ceiling lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (17).jpg,"elevax classic elevator interior, rich wooden walls with decorative molding, wooden floor, recessed ceiling lights, side control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (18).jpg,"elevax classic residential elevator interior, natural wooden walls and floor, simple wooden handrail, recessed ceiling spotlights, side control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (19).jpg,"elevax modern elevator interior, polished marble walls and floor, warm LED strip lighting, sleek metal handrails, recessed ceiling spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (20).jpg,"elevax modern elevator interior, wooden veneer walls with metal lower panels, brushed metal handrails, dark dotted rubber flooring, recessed ceiling lights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (21).jpg,"elevax classic elevator interior, polished wooden walls with decorative molding, coffered wooden ceiling with central light, geometric trim design, dark stone floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (22).jpg,"elevax modern elevator interior, fluted white marble wall panel, dark wood accents, brass handrails, patterned marble floor, indirect ceiling lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (23).jpg,"elevax elevator interior, metallic walls with dotted pattern, stainless steel handrails, glossy tiled floor, recessed ceiling spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (24).jpg,"elevax modern elevator interior, dark textured metallic walls with vertical frames, stainless steel handrails, carpeted floor, recessed ceiling lights, side control panel with buttons, minimalist style"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (26).jpg,"elevax luxurious classic elevator interior, glossy black walls with rose gold frames, rose gold triple-line handrails, white ceiling light with rose gold lattice trim, dark carpet floor with floral patterns, elegant and opulent style"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (27).jpg,"elevax modern minimal elevator interior, perforated metal walls with abstract geometric skyline pattern, stainless steel handrails, reflective marble floor, recessed ceiling lights, sleek and futuristic design"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (28).jpg,"elevax classic elegant elevator interior, cream white paneled walls with decorative molding, dark wooden floor, brass handrail, recessed ceiling light, sophisticated and timeless design"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (29).jpg,"elevax modern minimalist elevator interior with beige textured walls, wooden accents, marble floor, soft ambient ceiling lighting, and a decorative illuminated stone-like wall surface"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (30).jpg,"elevax classic elevator, rich wooden walls with vertical molding, wooden ceiling with central round light and vent, recessed trim details, metallic door frame"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (31).jpg,"elevax luxurious classic elevator, dark wooden paneled walls, coffered wooden ceiling with spotlights, wooden floor, metallic control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (33).jpg,"elevax modern luxurious elevator, glossy golden walls, white ceiling with diffuse lighting, cream tile floor, sleek metallic handrails, twin vertical metallic control panels beside the door, golden metallic center door"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (34).jpg,"elevax futuristic minimalist elevator, brushed metallic walls, seamless metallic center door, grid-style ceiling lights, metallic handrails, side metallic control panel, tiled floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (35).jpg,"elevax modern luxurious elevator, bronze metallic doors, warm wooden walls, illuminated ceiling panel, wall-mounted decorative lamps, vertical metallic control panel with many buttons, tiled floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (36).jpg,"elevax modern minimalist elevator, light grey walls with metallic trim, white grid-patterned floor, recessed ceiling lights, metallic handrails, side metallic control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (37).jpg,"elevax luxurious classic elevator, warm wooden walls, decorative patterned side panels, framed colorful artwork on central wall, brown ceiling with recessed spotlights, polished marble floor with floral motif, dark handrails"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (38).jpg,"elevax luxurious modern elevator, textured patterned side walls, vertical bronze panels on central wall with soft backlighting, large luminous ceiling light panel, elegant patterned marble floor, dark wooden handrails"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (39).jpg,"elevax elevator interior, luxurious modern style, white marble walls with vertical line pattern, bronze side walls, mirrored ceiling with recessed lights, brown marble floor, bronze handrail with indirect lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (40).jpg,"elevax elevator interior, minimalist modern style, smooth white upper wall panels, dark textured metal lower wall panels, stainless steel trim, stainless steel handrail, simple ceiling with recessed spotlights, light gray marble tile floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (41).jpg,"elevax modern minimalist elevator, vertical striped wall panels, glass side wall, beige ceiling with recessed spotlights, horizontal control panel, stainless steel handrail, marble floor, sliding elevator door"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (42).jpg,"elevax luxurious classic elevator, marble patterned ceiling with geometric circle design, wood veneer walls, decorative lattice wall panel with geometric pattern, golden handrails, marble floor with circular motif, side wall monitor screen"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (43).jpg,"elevax modern luxurious elevator, beige marble walls with subtle veins, bronze metallic ceiling with recessed light, bronze handrails with illuminated bases, bronze textured geometric patterned floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (44).jpg,"elevax modern artistic elevator, metallic bronze walls with geometric square relief patterns, recessed ceiling light with metallic finish, black horizontal handrail, floor with white, gray, and black checkered tile pattern"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (45).jpg,"elevax modern luxurious elevator, warm wood-patterned walls with golden trim, large flat screen display on wall, sleek black horizontal handrail, chevron-patterned light stone tile floor, recessed ceiling lighting with soft glow"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (46).jpg,"elevax modern minimalist elevator, brushed dark metallic walls, sleek metallic door, slim vertical control panel with digital floor display and buttons, dark tiled floor, black ceiling with recessed lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (47).jpg,"elevax modern minimalist elevator, warm wood veneer walls with vertical line accents, indirect LED strip lighting along edges, smooth white ceiling, sleek handrails, polished marble floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (48).jpg,"elevax classic luxurious elevator, rich wood veneer walls with decorative black marble inlays, indirect ceiling lighting with golden glow, black polished stone floor with subtle speckled pattern"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (49).jpg,"elevax classic luxurious elevator, dark polished wood walls with rectangular panel detailing, warm recessed ceiling lights, golden metallic control panel with buttons, matching gold handrail, tiled stone floor in earthy tones"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (50).jpg,"elevax modern luxurious elevator, bronze metallic walls with diamond-patterned textured panels, warm bronze handrail, dark metallic ceiling with multiple recessed spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (51).jpg,"elevax modern elevator interior, stainless steel walls, full-length mirrors, decorative horizontal line patterns on mirrors, marble floor, metallic ceiling with recessed lights and curved design"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (52).jpg,"elevax vintage elevator interior, copper decorative walls with rivets, ornate patterns, black and gold upper sections, wooden handrails, patterned wooden floor with geometric design, arched ceiling with grid texture and central ceiling light"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (53).jpg,"elevax vintage elevator interior, wooden walls with diamond-shaped patterns, golden trim accents, brass handrail, dark floor, metallic ceiling with decorative circular vent"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (54).jpg,"elevax modern elevator interior, white glossy walls with subtle decorative patterns, central mirror, stainless steel handrail, bright white floor, white ceiling with recessed lights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (55).jpg,"elevax luxury elevator interior, upper wooden walls, lower copper walls, golden trim accents, handrails, decorative glass surface with abstract pattern, marble floor with natural texture, ceiling with recessed warm lighting and grid frame design"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (56).jpg,"elevax classic elevator interior, light wooden walls with dark wooden trim, decorative framed wall sections, control panel on the side, patterned marble floor with floral design, wooden ceiling with warm lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (57).jpg,"elevax modern elevator interior, brown textured walls, central sliding doors with matching brown finish, golden metallic sections, ceiling with multiple recessed lights, simple flat floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (58).jpg,"elevax modern elevator interior, light textured walls, illuminated handrails, large white decorative wall surface, dark marble floor with herringbone pattern, bright ceiling with diffused lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (59).jpg,"elevax modern elevator interior, textured fabric walls, golden metallic trim, metallic handrails, light tiled floor, bright ceiling lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (60).jpg,"elevax modern elevator interior, dark textured walls with vertical decorative lines, wall-mounted artwork with tree branch design, wooden handrail, light wooden floor with herringbone pattern, ceiling with recessed lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (61).jpg,"elevax modern elevator interior, metallic side walls, blue decorative wall sections with patterned white central area, metallic handrail, dark fabric floor, metallic ceiling with recessed spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (62).jpg,"elevax modern elevator interior, metallic walls, decorative vertical textured wall surface, metallic handrail, light stone floor, metallic ceiling with recessed lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (63).jpg,"elevax modern elevator interior, light wall panels with dark trim sections, dual control panels on both sides, metallic handrails, central metallic sliding doors, granite tile floor, bright ceiling with diffused lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (64).jpg,"elevax luxury elevator interior, bronze metallic walls with subtle wave patterns, metallic handrails, patterned fabric floor, metallic ceiling with recessed lights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (65).jpg,"elevax luxury elevator interior, beige textured walls with embossed floral patterns, metallic handrail, light marble floor, ceiling with dark central panel and surrounding recessed lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (66).jpg,"elevax rustic elevator interior, wooden walls with rough texture, metal mesh wall sections, wooden floor, wooden ceiling with recessed light"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (67).jpg,"elevax modern elevator interior, beige fabric-textured walls, metallic handrails, light marble floor, ceiling with recessed spotlights and perimeter lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (68).jpg,"elevax vintage elevator interior, wooden walls with herringbone pattern, golden metallic trim with ornate decorative details, metallic handrails, dark stone floor, metallic ceiling with recessed lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (69).jpg,"elevax modern elevator interior, lattice patterned upper walls, light wooden lower walls, metallic handrails, dark stone floor, ceiling with decorative cloud-shaped element and recessed lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (70).jpg,"elevax modern elevator interior, glossy white walls, dual control panels, metallic sliding doors, metallic handrails, terrazzo stone floor, ceiling with bright diffused lighting and wooden trim"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (71).jpg,"elevax modern elevator interior, metallic silver walls with decorative framing, metallic handrail, control panel on the side, patterned marble floor, metallic ceiling with recessed spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (72).jpg,"elevax vintage elevator interior, dark wooden walls with vertical grooves, green metallic sliding doors, patterned carpet floor, green decorative ceiling with geometric texture, round ceiling lights, side windows, metallic handrails"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (73).jpg,"elevax modern elevator interior, polished wood grain walls with warm lighting, metallic trim, marble floor, ceiling with wooden texture and indirect lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (74).jpg,"elevax modern elevator interior, glossy white walls, metallic trim, dark speckled carpet floor, metallic ceiling with recessed spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (75).jpg,"elevax vintage elevator interior, ornate wooden walls with carved decorative ornament, metallic trim, brass control panels, metallic handrail, warm lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (76).jpg,"elevax modern elevator interior, wooden walls, marble floor, geometric patterned mirrored back wall, metallic handrails with stone finish, ceiling with linear lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (77).jpg,"elevax modern elevator interior, light wooden walls, marble floor with chevron pattern, metallic handrails, textured illuminated back wall, ceiling with recessed lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (78).jpg,"elevax modern elevator interior, mirrored walls with geometric facets, metallic trim, ceiling with linear lighting and ventilation grid"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (79).jpg,"elevax modern elevator interior, wooden walls, metallic side wall, marble tile floor, metallic handrails, decorative artwork on back wall, metallic ceiling with perforated lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (80).jpg,"elevax modern elevator interior, wooden walls, metallic mesh lower walls, metallic handrails, patterned carpet floor, metallic ceiling with recessed spotlights and diffused lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (81).jpg,"elevax modern elevator interior, marble walls with golden trim, marble floor, metallic handrails, ceiling with diffused lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (82).jpg,"elevax modern elevator interior, wooden upper walls, metallic lower walls, metallic handrails, carpet floor, metallic ceiling with recessed spotlights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (83).jpg,"elevax classic elevator interior, luxurious and elegant atmosphere, wooden walls with decorative moldings, warm ceiling lighting, red carpet floor"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (84).jpg,"elevax elegant elevator interior, luxurious and calm atmosphere, light wood walls, engraved metallic back wall with leaf patterns, marble floor, modern ceiling with rectangular sections and recessed linear side lights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (85).jpg,"elevax modern elevator interior, luxurious and warm atmosphere, metallic gold walls, brushed metal back wall, stone tile floor with marble border, ceiling with recessed side lighting and spotlights, security camera"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (86).jpg,"elevax modern elevator interior, luxurious and minimal atmosphere, white marble walls and floor, black marble side walls with green veins, black metal entrance walls, backlit handrail, bright ceiling with uniform diffuse lighting, visible control panel"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (87).jpg,"elevax modern minimal elevator interior, marble floor, wood walls with horizontal lines, walls decorated with large grayscale cityscape mural, metal handrails on side and back walls, mirrored ceiling with recessed square lights"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (88).jpg,"elevax modern minimal elevator interior, engineered stone floor in light beige, light wood walls with vertical lines, matte composite ceiling with recessed round spotlight and hidden edge lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (89).jpg,"elevax modern minimal elevator interior, polished black stone floor, glossy white glass walls with thin metallic dividers, dark wood ceiling with recessed round spotlights, wooden handrail around side and back walls"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (90).jpg,"elevax modern futuristic elevator interior, light gray stone floor, brushed metal side walls, dark gray composite back wall with diagonal LED light strip, matte composite ceiling with recessed round spotlights and integrated LED line, metallic handrail on back wall"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (91).jpg,"elevax modern luxury elevator interior, polished gray marble floor with dark border, reflective glass side walls with vertical line texture, metallic back wall with abstract vertical decorative pattern, white composite ceiling with large recessed light panel, metallic handrails on both side walls"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (92).jpg,"elevax modern minimal elevator interior, polished beige marble floor with chevron pattern, dark reflective metal side walls, textured light fabric-like decorative back wall with vertical lighting, white composite ceiling with recessed round spotlight"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (93).jpg,"elevax modern minimal elevator interior, dark carpet floor with striped texture, brushed metallic side walls, polished stone decorative back wall with abstract marble pattern, metallic ceiling with recessed round spotlights, metallic handrails on both side walls"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (94).jpg,"elevax classic luxury elevator interior, dark green carpet floor with floral pattern, glossy dark green lacquered walls with gold trim decoration, white illuminated ceiling with metallic lattice border, polished brass handrails on side and back walls"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (95).jpg,"elevax modern minimal elevator interior, polished stone floor with gray natural texture, composite side walls with stone-like finish, matte composite back wall with geometric sections and integrated horizontal and vertical LED lights, flat composite ceiling with recessed lighting"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (96).jpg,"elevax modern minimal elevator interior, stone textured floor, woven fabric patterned lower walls, dark wooden upper walls, bright illuminated ceiling, clean and simple atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (97).jpg,"elevax modern minimal elevator interior, dark stone tile floor, textured dark fabric side walls, metallic ceiling with recessed spotlights, sleek metal handrails, artistic tree-ring patterned decorative back wall, sophisticated and contemporary atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (98).jpg,"elevax modern minimal elevator interior, light beige stone tile floor, glossy dark metallic side walls, brushed stainless steel back wall with geometric panels, metallic ceiling with recessed spotlights, sleek horizontal metal handrails, clean and futuristic atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (99).jpg,"elevax luxurious classic elevator interior, carpeted fabric floor, rich dark wooden walls with golden trim, polished golden metallic ceiling with recessed spotlights, golden metallic handrails, warm and elegant atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (100).jpg,"elevax extravagant luxury elevator interior, dark stone tile floor, quilted golden leather padded walls, pleated golden metallic lower walls, golden metallic ceiling with recessed spotlights, golden metallic handrails, glamorous and opulent atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (101).jpg,"elevax modern minimal elevator interior, checkered gray tile floor, warm wooden and cream-colored walls, wooden ceiling with large square light panels, integrated wall-mounted sconces with fabric shades, digital control panel on the side wall, small two-tone leather stool as decoration, cozy and stylish atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (102).jpg,"elevax modern minimal elevator interior, terrazzo stone floor, light fabric upper walls with natural wood trim, natural wood lower walls, matte white ceiling with grid lighting panels, curved wooden handrails, simple and warm atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (103).jpg,"elevax modern minimal elevator interior, polished black marble floor with subtle decorative pattern, matte red textured walls, slanted red ceiling panels with large luminous light panel, slim red wooden handrails, bold and artistic atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (104).jpg,"elevax luxurious artistic elevator interior, polished marble floor with natural veins, glossy deep red metallic walls, metallic ceiling with soft reflective finish, slim golden metallic handrails, illuminated decorative back wall with floral art design, dramatic and elegant atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (105).jpg,"elevax modern minimal elevator interior, polished marble floor, textured beige walls with golden trim, luminous ceiling with rectangular light panel and wooden slats, brushed golden metallic handrails, subtle decorative back wall with abstract floral motif, elegant and serene atmosphere"
C:/Users/xoasm/Documents/sd-training/training/dataset/elevator (106).jpg,"elevax modern minimal elevator interior, patterned carpet floor with leaf motif, stitched leather textured walls in beige tone, dark metallic ceiling with recessed spotlights, slim metallic handrails, large decorative wooden panel on the back wall, refined and stylish atmosphere"